epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,21462.2,1.08026,2.07984,0.67069,0.91793,0.51071,0.28178,0.32376,0.19732,0.48732,0.26015,0.29106,0.15312,1.20824,2.39941,0.77268,0.9681,0.000141443,0.000141443,0.000141443
83,21724,1.07798,2.07525,0.66716,0.91763,0.45324,0.36038,0.33061,0.20083,0.43735,0.33745,0.30075,0.16076,1.21165,2.40542,0.7772,0.96865,0.000134375,0.000134375,0.000134375
84,21985.4,1.06685,2.04717,0.66126,0.91665,0.45995,0.33508,0.32678,0.19771,0.45202,0.29488,0.29574,0.1585,1.20521,2.40589,0.77436,0.96681,0.000127306,0.000127306,0.000127306
85,22246.6,1.07395,2.05401,0.66244,0.9153,0.4546,0.33774,0.3294,0.19912,0.42668,0.31394,0.2976,0.15916,1.20653,2.40735,0.77204,0.96518,0.000120238,0.000120238,0.000120238
86,22505.9,1.07714,2.05752,0.66371,0.91601,0.42253,0.34254,0.33127,0.19759,0.39309,0.31819,0.29737,0.15599,1.20497,2.40014,0.76898,0.96619,0.000113169,0.000113169,0.000113169
87,22770.6,1.07049,2.05332,0.66095,0.91576,0.47359,0.3497,0.33618,0.20387,0.44422,0.32846,0.30179,0.15873,1.20572,2.39854,0.77106,0.96522,0.0001061,0.0001061,0.0001061
88,23031.8,1.07862,2.06872,0.6647,0.9206,0.45362,0.34235,0.34231,0.20953,0.42775,0.31921,0.31222,0.16512,1.20501,2.39125,0.77184,0.96583,9.90318e-05,9.90318e-05,9.90318e-05
89,23296.1,1.0719,2.06006,0.65827,0.91474,0.4569,0.34855,0.33482,0.20349,0.43047,0.3245,0.30516,0.16129,1.20963,2.39643,0.77199,0.96731,9.19632e-05,9.19632e-05,9.19632e-05
90,23559,1.06554,2.04493,0.6549,0.91385,0.43771,0.35035,0.33053,0.19898,0.40459,0.32281,0.29367,0.15801,1.20692,2.39815,0.77028,0.96669,8.48946e-05,8.48946e-05,8.48946e-05
91,23716.3,1.07296,2.07491,0.66216,0.9172,0.44012,0.30875,0.31602,0.18929,0.41087,0.28785,0.28452,0.14943,1.21759,2.41547,0.78103,0.97078,7.7826e-05,7.7826e-05,7.7826e-05
92,23865.9,1.05998,2.05606,0.64865,0.91157,0.45751,0.31736,0.3226,0.19382,0.42836,0.29554,0.29048,0.15152,1.21623,2.41059,0.77664,0.96984,7.07574e-05,7.07574e-05,7.07574e-05
93,24015,1.05667,2.05602,0.64502,0.91036,0.45742,0.31704,0.32117,0.19161,0.43441,0.2957,0.28673,0.14997,1.21337,2.4166,0.77619,0.96937,6.36888e-05,6.36888e-05,6.36888e-05
94,24163.6,1.05408,2.0528,0.64562,0.91147,0.43629,0.3334,0.32443,0.19315,0.4274,0.288,0.28802,0.15064,1.21305,2.40782,0.7756,0.96857,5.66202e-05,5.66202e-05,5.66202e-05
95,24312.4,1.0547,2.05037,0.64252,0.91046,0.41245,0.32441,0.32462,0.19535,0.3802,0.30034,0.28982,0.15262,1.21384,2.41095,0.77579,0.96878,4.95516e-05,4.95516e-05,4.95516e-05
96,24461.5,1.0492,2.04029,0.63862,0.90815,0.42477,0.33776,0.32621,0.19552,0.40402,0.31197,0.29407,0.15299,1.21346,2.41125,0.77342,0.97019,4.2483e-05,4.2483e-05,4.2483e-05
97,24609.3,1.04951,2.03413,0.63699,0.90934,0.4286,0.33807,0.32434,0.1932,0.40305,0.31619,0.29308,0.15185,1.21274,2.41199,0.77409,0.96853,3.54144e-05,3.54144e-05,3.54144e-05
98,24755.7,1.04649,2.01941,0.63646,0.90873,0.40669,0.33475,0.32525,0.19646,0.4117,0.30404,0.2925,0.15408,1.21139,2.41305,0.77351,0.96914,2.83458e-05,2.83458e-05,2.83458e-05
99,24901.8,1.04255,2.03628,0.6336,0.90692,0.39269,0.35107,0.32416,0.19669,0.36281,0.32988,0.29399,0.15464,1.21188,2.41217,0.77243,0.9691,2.12772e-05,2.12772e-05,2.12772e-05
100,25050.1,1.04192,2.02586,0.63243,0.90796,0.48123,0.29493,0.32381,0.19548,0.45738,0.2728,0.29318,0.15339,1.21108,2.40578,0.77116,0.96904,1.42086e-05,1.42086e-05,1.42086e-05
